Date,AXISBANK,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANKBARODA,HDFC,BANDHANBNK,GICRE,HDFCAMC,HDFCLIFE,IBULHSGFIN,ICICIBANK,ICICIGI,ICICIPRULI,INDUSINDBK,KOTAKBANK,L&TFH,NIACL,PEL,PFC,PNB,SBILIFE,SBIIN,SRTRANSFIN
2010-03-10,160.4834595,333.6570435,454.4407654,15.00832176,60.60536957,434.8103943,,,,,,89.0156021,,,152.5736084,195.2431183,,,289.7068481,62.61392975,90.05906677,,89.10436249,444.1394043
2010-03-11,163.2988281,327.3169861,451.8371582,14.60881996,61.68272781,434.135376,,,,,,90.2808914,,,145.6448517,191.5660248,,,290.8708496,63.65872955,89.78185272,,89.47611237,445.3784485
2010-03-12,163.2562866,320.2025452,451.4161072,14.94291592,61.44937897,436.4093628,,,,,,90.843689,,,151.7777405,190.9136505,,,293.2341919,65.19520569,89.74294281,,89.57015991,442.0597229
2010-03-15,162.0719604,319.3798828,446.4003296,14.6181469,60.78409195,429.9090271,,,,,,89.5927582,,,150.1392059,186.7928162,,,286.0072327,65.60083008,89.79644012,,88.13556671,435.7760925
2010-03-16,162.3840332,319.9601746,442.3035583,14.56909466,60.23300171,432.094574,,,,,,90.2472992,,,154.9612579,186.2526245,,,283.3353882,63.94144058,89.90829468,,88.16837311,440.7322083
2010-03-17,162.9938965,319.331604,439.5084839,14.64151955,60.58054733,438.184967,,,,,,91.998024,,,157.3020477,187.5800018,,,287.4112549,63.28997803,90.62320709,,88.66915131,450.3345032
2010-03-18,165.0646515,318.8951416,438.4363708,14.60179615,60.9975853,439.9848633,,,,,,93.4622955,,,159.1746674,185.5884399,,,286.1787415,63.7816391,91.3429718,,88.77193451,452.5470276
2010-03-19,163.9583588,319.2340698,440.1976929,14.53869915,61.09192276,432.9944458,,,,,,92.7736359,,,163.154068,183.7307281,,,282.4452209,63.68331146,93.58983612,,90.03159332,448.7857056
2010-03-22,162.6109467,307.7156372,438.8575745,14.51537704,62.05012512,421.8098145,,,,,,90.7076416,,,157.3488464,182.9681244,,,281.5543823,63.14249039,92.44693756,,89.26618195,441.3517456
2010-03-23,164.8022614,308.5865479,435.6795959,14.33310318,62.03026581,421.279541,,,,,,89.7623978,,,158.6128693,179.536087,,,291.9325867,63.16706848,94.41174316,,89.59859467,438.0328979
2010-03-25,163.7881622,306.844696,432.3485107,14.23499584,62.21893311,415.5907593,,,,,,90.5721588,,,159.8769073,181.9477692,,,295.7352295,63.31455231,97.53398895,,89.64231873,450.2459412
2010-03-26,169.2416077,311.7324829,439.4701233,14.64151955,63.53956223,419.9054565,,,,,,91.8961334,,,166.8993378,184.9478912,,,290.2885132,64.53143311,97.45132446,,90.6614151,458.299469
2010-03-29,170.0500641,313.9108276,458.0782776,14.73731995,63.22679138,427.6351929,,,,,,92.3906174,,,168.3038483,185.5628815,,,284.9109802,64.11352539,97.61180115,,91.63237762,478.6989746
2010-03-30,166.3836823,325.6716003,470.4069214,15.11345291,63.85234833,424.035553,,,,,,93.0888901,,,160.4855499,184.1125031,,,289.84375,63.64642715,98.01544952,,91.08566284,461.3526917
2010-03-31,165.6958008,325.381012,462.6345215,14.96859837,63.45516205,436.6503906,,,,,,92.3810349,,,159.2683258,184.0387115,,,290.973938,63.51124191,98.50665283,,90.895401,466.0874634
2010-04-01,166.4475098,333.8511353,464.2042542,15.21858501,64.50273895,447.1520996,,,,,,92.3954315,,,165.9161835,183.7179413,,,289.7406921,64.16268921,98.81303406,,91.96259308,464.1405334
2010-04-05,166.9510345,335.4481812,474.9631042,15.40547085,66.85605621,449.1607971,,,,,,95.5672226,,,169.2869415,188.5147705,,,299.1602783,64.42080688,99.84893036,,93.52184296,467.9903259
2010-04-06,166.5893555,331.9151001,471.3641052,15.48491955,67.04471588,453.9656677,,,,,,96.7743835,,,168.8655853,192.3532104,,,306.969696,66.85458374,100.7583694,,92.87889099,477.5925598
2010-04-07,165.1355743,331.3338318,469.0285339,15.69051647,66.49859619,451.0087585,,,,,,95.7608719,,,168.5379028,193.7553406,,,317.1424866,67.05123901,98.9881134,,92.32561493,484.1416321
2010-04-08,164.0647125,338.7388916,470.9812622,15.60875797,65.59003448,438.0484314,,,,,,93.2147903,,,167.1334229,193.3735657,,,313.8544312,65.83435059,97.95223236,,91.66954803,486.309906
2010-04-09,167.8516541,347.5952148,468.4924927,15.73023987,66.11133575,456.8742981,,,,,,94.8833618,,,167.4143372,193.3371429,,,319.5058899,66.36290741,97.88415527,,92.11567688,494.5846558
2010-04-12,166.9226685,348.0799561,480.8977966,16.47548103,63.91193008,454.4234924,,,,,,93.5593719,,,165.8225861,188.3681488,,,317.177063,65.28122711,96.26952362,,91.49898529,495.204071
2010-04-13,164.1853027,341.3527222,482.6207581,16.5082283,64.03108215,441.6481018,,,,,,91.3819046,,,169.614624,188.9093323,,,312.5188293,64.10123444,97.26164246,,91.58427429,491.2658691
2010-04-15,162.8662415,316.4753723,483.271698,16.13205338,62.45723724,432.2312012,,,,,,89.0348206,,,168.4910736,183.2751312,,,320.6020508,63.60955429,95.82695007,,89.83914948,501.7088928
2010-04-16,162.8804169,298.0838928,473.9294434,17.21610451,62.63100815,429.8045654,,,,,,89.4663315,,,165.1203461,178.3435364,,,331.3571777,64.24872589,96.8190918,,89.56140137,494.3634644
2010-04-19,164.4264069,296.0513,480.7447205,17.51749992,63.56935501,432.7855835,,,,,,89.2092209,,,170.5042114,178.2825165,,,332.7619629,62.84746933,96.51269531,,88.89440918,492.6819458
2010-04-20,168.3551483,303.3116455,479.0983276,18.02915764,63.42537689,434.3443298,,,,,,90.4894714,,,172.423645,179.8932495,,,351.2919312,65.19520569,96.4932251,,91.77671814,497.5937195
2010-04-21,175.5035248,308.538269,488.3257141,18.68095207,62.44234467,434.6576843,,,,,,92.3228912,,,181.5059662,182.6729584,,,357.5264282,65.71142578,98.03004456,,92.10255432,492.9474487
2010-04-22,173.7377014,311.1038818,495.4473572,18.83047676,64.13038635,439.7759705,,,,,,91.5419388,,,177.8074493,182.5627594,,,357.8003235,66.49811554,99.49391937,,97.23297119,490.1597595
2010-04-23,175.2907715,311.6358948,503.4111328,18.98235512,64.4779129,438.2894592,,,,,,94.8252258,,,178.0883636,183.4847412,,,349.9909668,67.37081146,100.3887634,,98.87312317,465.3795166
2010-04-26,181.4888458,316.5236511,516.1611328,19.08983612,67.00996399,454.73703,,,,,,93.1230164,,,179.5864868,186.0548553,,,354.8200378,69.38666534,100.1747742,,98.47730255,487.4161377
2010-04-27,181.0562744,313.2329407,504.5215454,19.60380173,67.2085495,458.4572144,,,,,,91.8427887,,,178.8374481,185.0098877,,,353.1421204,67.82559967,99.6155014,,97.00118256,477.8581543
2010-04-28,177.8721161,316.4753723,477.566864,19.65054703,68.10717773,450.9847717,,,,,,89.1756363,,,174.9048767,181.0986176,,,357.7319031,68.67375946,99.20698547,,97.63098145,469.8932495
2010-04-29,180.7087708,328.3328247,475.4992676,19.88648796,68.67317963,455.2030029,,,,,,91.8523941,,,180.38237,179.2782745,,,370.0280457,67.41998291,100.3060837,,99.45922089,465.9547729
2010-04-30,180.1272736,332.9309387,480.4000854,20.03600883,68.73275757,452.1978455,,,,,,92.3276825,,,181.5527649,181.6761932,,,365.5067444,66.14164734,101.1085358,,100.6270065,502.2399292
